label,x,y,l,angle,offset
truck,609,207,25.572414752442448,39.600026576674935,21
TA15,423,62,31.481087754134748,-0.6278738189977275,21
person,133,296,28.064932651226826,-65.98328790642373,21
person,133,296,29.061573831786955,-65.98328790642373,21
truck,573,198,24.9963088340127,32.51973431214573,21
person,137,296,29.078643692584883,-65.69015733242341,21
person,136,296,29.671711167511376,-65.76406840127385,21
person,138,296,30.073726174344557,-65.61582170234286,21
person,138,296,30.338684044879052,-65.61582170234286,21
person,138,297,30.42792983982195,-65.78049867904119,21
person,138,297,30.474632458917835,-65.78049867904119,21
person,137,298,30.423904893916,-66.01918224181384,21
person,137,300,30.62599492353622,-66.34989672149945,21
person,137,301,30.635017098787856,-66.51588470949514,21
