count(10HZ),latitude,longitude,batteryPercent
22,59.405322,16.426682,95
23,59.405321,16.426684,95
24,59.405322,16.426684,95
25,59.405323,16.426685,95
26,59.405324,16.426685,95
27,59.405323,16.426686,95
28,59.405324,16.426686,95
29,59.405323,16.426688,95
30,59.405324,16.426689,95
31,59.405322,16.426694,95
32,59.405322,16.426695,95
33,59.40532,16.426697,95
34,59.405321,16.426698,95
35,59.40532,16.426697,95
36,59.40532,16.426698,95
37,59.405319,16.426699,95
38,59.405319,16.4267,95
39,59.405318,16.426699,95
40,59.405318,16.4267,95
41,59.405318,16.426701,95
42,59.405318,16.426702,95
43,59.405318,16.426701,95
44,59.405318,16.426702,95
45,59.405321,16.426701,95
46,59.405321,16.426701,95
47,59.405322,16.4267,95
48,59.405323,16.4267,95
49,59.405324,16.426698,95
50,59.405324,16.426698,95
51,59.405325,16.426696,95
52,59.405326,16.426696,95
53,59.405326,16.426695,95
54,59.405327,16.426695,95
55,59.405327,16.426694,95
56,59.405328,16.426693,95
57,59.40533,16.426693,95
58,59.405331,16.426693,95
59,59.405332,16.426692,95
60,59.405333,16.426692,95
61,59.405334,16.426691,95
62,59.405335,16.426691,95
63,59.405335,16.426692,95
64,59.405337,16.426692,95
65,59.405337,16.426692,95
66,59.405338,16.426693,95
67,59.405339,16.426694,95
68,59.40534,16.426695,95
69,59.40534,16.426696,95
70,59.405341,16.426697,95
71,59.405342,16.426698,95
72,59.405343,16.426699,95
73,59.405344,16.4267,95
74,59.405345,16.426702,95
75,59.405346,16.426703,95
76,59.405347,16.426705,95
77,59.405348,16.426707,95
78,59.405349,16.426709,95
79,59.405351,16.426711,95
80,59.405352,16.426713,95
81,59.405354,16.426715,94
82,59.405355,16.426717,94
83,59.405357,16.426719,94
84,59.405359,16.426721,94
85,59.405361,16.426723,94
86,59.405362,16.426725,94
87,59.405364,16.426727,94
88,59.405365,16.42673,94
89,59.405367,16.426732,94
90,59.405369,16.426735,94
91,59.405371,16.426737,94
92,59.405373,16.42674,94
93,59.405374,16.426742,94
94,59.405376,16.426745,94
95,59.405378,16.426748,94
96,59.405379,16.426751,94
97,59.405381,16.426753,94
98,59.405383,16.426756,94
99,59.405385,16.426759,94
100,59.405387,16.426762,94
101,59.405389,16.426765,94
102,59.405391,16.426768,94
103,59.405393,16.426771,94
104,59.405395,16.426775,94
105,59.405397,16.426778,94
106,59.405399,16.426781,94
107,59.405402,16.426784,94
108,59.405404,16.426787,94
109,59.405406,16.426791,94
110,59.405409,16.426794,94
111,59.405411,16.426798,94
112,59.405413,16.426801,94
113,59.405416,16.426805,94
114,59.405419,16.426808,94
115,59.405421,16.426812,94
116,59.405424,16.426816,94
117,59.405426,16.426819,94
118,59.405429,16.426823,94
119,59.405432,16.426827,94
120,59.405434,16.42683,94
121,59.405437,16.426834,94
122,59.40544,16.426838,94
123,59.405442,16.426841,94
124,59.405445,16.426845,94
125,59.405448,16.426848,94
126,59.40545,16.426852,94
127,59.405452,16.426853,94
128,59.405454,16.426856,94
129,59.405455,16.426858,94
130,59.405456,16.42686,94
131,59.405457,16.426862,94
132,59.405458,16.426863,94
133,59.405459,16.426864,94
134,59.405459,16.426865,94
135,59.40546,16.426866,94
136,59.40546,16.426866,94
137,59.40546,16.426866,94
138,59.40546,16.426866,94
139,59.40546,16.426866,94
140,59.40546,16.426866,94
141,59.40546,16.426867,94
142,59.40546,16.426866,94
143,59.40546,16.426867,94
144,59.40546,16.426867,94
145,59.40546,16.426867,94
146,59.405459,16.426867,94
147,59.405459,16.426868,94
148,59.405459,16.426868,94
149,59.405459,16.426868,94
150,59.405459,16.426868,94
151,59.405459,16.426868,94
152,59.405459,16.426868,94
153,59.405459,16.426868,94
154,59.405459,16.426868,94
155,59.405459,16.426868,94
156,59.40546,16.426868,94
157,59.40546,16.426868,94
158,59.40546,16.426868,94
159,59.40546,16.426868,94
160,59.40546,16.426868,94
161,59.40546,16.426868,94
162,59.40546,16.426868,94
163,59.40546,16.426868,94
164,59.40546,16.426868,94
165,59.40546,16.426867,94
166,59.40546,16.426867,94
167,59.40546,16.426867,94
168,59.40546,16.426867,94
169,59.40546,16.426867,94
170,59.40546,16.426867,94
171,59.40546,16.426867,94
172,59.40546,16.426867,94
173,59.40546,16.426866,94
174,59.40546,16.426866,94
175,59.40546,16.426866,94
176,59.40546,16.426866,94
177,59.40546,16.426866,94
178,59.40546,16.426866,94
179,59.40546,16.426866,94
180,59.40546,16.426865,94
181,59.40546,16.426865,94
182,59.40546,16.426865,94
183,59.405461,16.426864,94
184,59.405461,16.426864,94
185,59.405461,16.426864,94
186,59.405461,16.426864,94
187,59.405461,16.426864,94
188,59.405461,16.426864,94
189,59.405461,16.426864,94
190,59.405461,16.426864,94
191,59.405461,16.426864,93
192,59.405461,16.426864,93
193,59.405461,16.426864,93
194,59.405461,16.426864,93
195,59.405461,16.426864,93
196,59.405461,16.426864,93
197,59.405461,16.426864,93
198,59.405461,16.426864,93
199,59.405461,16.426864,93
200,59.405461,16.426864,93
201,59.40546,16.426864,93
202,59.40546,16.426864,93
203,59.40546,16.426864,93
204,59.40546,16.426864,93
205,59.40546,16.426864,93
206,59.40546,16.426864,93
207,59.40546,16.426864,93
208,59.40546,16.426864,93
209,59.40546,16.426863,93
210,59.40546,16.426863,93
211,59.40546,16.426863,93
212,59.40546,16.426863,93
213,59.40546,16.426863,93
214,59.40546,16.426863,93
215,59.40546,16.426863,93
216,59.40546,16.426863,93
217,59.40546,16.426863,93
218,59.40546,16.426863,93
219,59.40546,16.426863,93
220,59.40546,16.426863,93
221,59.40546,16.426863,93
222,59.40546,16.426863,93
223,59.40546,16.426864,93
224,59.40546,16.426864,93
225,59.40546,16.426864,93
226,59.40546,16.426864,93
227,59.40546,16.426864,93
228,59.40546,16.426864,93
229,59.40546,16.426864,93
230,59.40546,16.426864,93
231,59.40546,16.426864,93
232,59.40546,16.426864,93
233,59.40546,16.426864,93
234,59.40546,16.426864,93
235,59.40546,16.426864,93
236,59.40546,16.426864,93
237,59.40546,16.426864,93
238,59.40546,16.426864,93
239,59.40546,16.426864,93
240,59.40546,16.426864,93
241,59.405461,16.426864,93
242,59.405461,16.426864,93
243,59.405461,16.426864,93
244,59.405461,16.426864,93
245,59.405461,16.426864,93
246,59.405461,16.426864,93
247,59.405461,16.426864,93
248,59.405461,16.426864,93
249,59.405461,16.426864,93
250,59.405461,16.426864,93
251,59.405461,16.426864,93
252,59.405461,16.426864,93
253,59.405461,16.426865,93
254,59.405462,16.426867,93
255,59.405463,16.426869,93
256,59.405464,16.426872,93
257,59.405465,16.426875,93
258,59.405466,16.426879,93
259,59.405467,16.426883,93
260,59.405469,16.426887,93
261,59.40547,16.426892,93
262,59.405472,16.426896,93
263,59.405474,16.426901,93
264,59.405476,16.426907,93
265,59.405478,16.426912,93
266,59.40548,16.426917,93
267,59.405482,16.426923,93
268,59.405484,16.426929,93
269,59.405486,16.426936,93
270,59.405489,16.426942,93
271,59.405491,16.426949,93
272,59.405494,16.426957,93
273,59.405496,16.426964,93
274,59.405499,16.426971,93
275,59.405502,16.426979,93
276,59.405505,16.426987,93
277,59.405508,16.426995,93
278,59.405511,16.427004,93
279,59.405514,16.427013,93
280,59.405517,16.427022,93
281,59.405521,16.427031,93
282,59.405524,16.42704,93
283,59.405527,16.42705,93
284,59.40553,16.42706,93
285,59.405534,16.42707,93
286,59.405537,16.42708,93
287,59.405541,16.427091,93
288,59.405544,16.427101,93
289,59.405548,16.427112,93
290,59.405551,16.427123,93
291,59.405555,16.427134,93
292,59.405559,16.427146,93
293,59.405562,16.427157,93
294,59.405566,16.427168,93
295,59.405569,16.427178,93
296,59.405572,16.427188,93
297,59.405574,16.427195,93
298,59.405576,16.427202,93
299,59.405577,16.427206,93
300,59.405578,16.42721,93
301,59.405579,16.427212,93
302,59.40558,16.427216,93
303,59.405582,16.427219,93
304,59.405583,16.427223,93
305,59.405585,16.42723,93
306,59.405587,16.427235,93
307,59.405589,16.427243,93
308,59.405591,16.42725,93
309,59.405593,16.42726,93
310,59.405595,16.427269,93
311,59.405597,16.427282,92
312,59.405598,16.427293,92
313,59.405598,16.427305,92
314,59.405598,16.427317,92
315,59.405596,16.42733,92
316,59.405595,16.427341,92
317,59.405592,16.427352,92
318,59.40559,16.427362,92
319,59.405587,16.42737,92
320,59.405584,16.427379,92
321,59.40558,16.427384,92
322,59.405577,16.427392,92
323,59.405574,16.427399,92
324,59.405571,16.427408,92
325,59.405569,16.42742,92
326,59.405566,16.427432,92
327,59.405562,16.427447,92
328,59.405558,16.42746,92
329,59.405552,16.427473,92
330,59.405546,16.427485,92
331,59.40554,16.427495,92
332,59.405533,16.427505,92
333,59.405527,16.427511,92
334,59.40552,16.427519,92
335,59.405514,16.427523,92
336,59.405508,16.427528,92
337,59.405502,16.427529,92
338,59.405497,16.427532,92
339,59.405492,16.427535,92
340,59.405487,16.427538,92
341,59.405484,16.427541,92
342,59.405479,16.427545,92
343,59.405475,16.427552,92
344,59.405471,16.427557,92
345,59.405465,16.427564,92
346,59.40546,16.427567,92
347,59.405454,16.42757,92
348,59.40545,16.42757,92
349,59.405447,16.427568,92
350,59.405444,16.427568,92
351,59.405442,16.427566,92
352,59.40544,16.427565,92
353,59.405439,16.427566,92
354,59.405438,16.427566,92
355,59.405438,16.427566,92
356,59.405437,16.427566,92
357,59.405437,16.427567,92
